Location,Price,Zone,City,Area
Terreno en Venta - Sobre Av. Cuauhtemoc - Col. Guadalupe Hidalgo Todo bardeado,"MN 15,920,000",Guadalupe Hidalgo, Puebla,4000 m²
Venta de Terreno en La Concepción Zavaleta,"MN 16,466,320",Concepción las Lajas, Puebla,1266 m²
VENTA DE TERRENO CON BODEGA - ZONA INDUSTRIAL ESURRECCIÓN .,"MN 11,000,000",Industrial Resurrección, Puebla,426 m²
MANUEL AVILA CAMACHO24,"MN 1,150,000",Concepción la Cruz, Puebla,115 m²
Error,Error,Error,Error,Error
58 COLONIA BUENAVISTA SAN ANDRES AZUMIATLA,"MN 103,000",Buenavista, Puebla,127 m²
hacienda san miguel,"MN 3,840,000",Los Angeles Mayorazgo, Puebla,438 m²
AVENIDA DEL JARDIN 390,"MN 1,500,000",Constitución Mexicana, Puebla,1888 m²
Error,Error,Error,Error,Error
CALLE AZAHARES COLONIA PLAYAS DEL SUR,"MN 285,600",El Pedregal, Puebla,102 m²
Error,Error,Error,Error,Error
HIPANOSUIZA,"MN 7,000",La Calera, Puebla,375 m²
LA CONCEPCION,"MN 14,000",Concepción Guadalupe, Puebla,400 m²
CALLE 3 SUR 16301,"MN 4,500,000",Jardines del Sur, Puebla,3078 m²
PROLONGACION 3 SUR 16313,"MN 6,400,000",Jardines del Sur, Puebla,2288 m²
Error,Error,Error,Error,Error
Error,Error,Error,Error,Error
Terreno EN Venta Frente A Periferico Ecologico,"MN 32,400,000",Flor del Bosque, Puebla,27000 m²
Venta DE Terreno EN 25 Oriente Cerca Blvd 5 DE Mayo Cerca DEL Centro,"MN 15,427,750",Bella Vista, Puebla,1410 m²
Error,Error,Error,Error,Error
Guillermo Xicotencatl,"MN 7,685",San Cristóbal, Puebla,73 m²
20 Poniente,"MN 7,434,000",El Tamborcito, Puebla,1062 m²
CALLE OXFORD,"MN 6,500",La Calera, Puebla,126 m²
SE Vende Como Terreno EN Gonzalo Bautista Alamos,"MN 1,450,000",Los Alamos Toltepec, Puebla,579 m²
SE Vende Como Terreno EN Gonzalo Bautista Alamos,"MN 1,250,000",Los Alamos Toltepec, Puebla,280 m²
